Período,Sigla,Componente,Tipo,Optativo,Qtd. Avaliações,Núcleo,CH Componente,CH Teórica,CH Prática,Pré-Requisitos,Co-Requisitos,Classificação Complementar
1,3389,ALGORITMOS E PROGRAMAÇÃO,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,-,-,-
1,3390,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
1,3389,FUNDAMENTOS PARA SISTEMAS DE INFORMAÇÃO,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",48,0,-,-,-
1,3210,LÍNGUA INGLESA,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,-,-,-
1,862,TÓPICOS DE MATEMÁTICA,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
2,3014,BANCO DE DADOS I,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,FUNDAMENTOS PARA SISTEMAS DE INFORMAÇÃO,-,-
2,3392,ELABORAÇÃO E ANÁLISE DE PROJETOS ECONÔMICOS,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
2,1802,ESTRUTURAS DE DADOS,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,ALGORITMOS E PROGRAMAÇÃO,-,-
2,3391,FUNDAMENTOS DE ENGENHARIA DE SOFTWARE,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",48,0,FUNDAMENTOS PARA SISTEMAS DE INFORMAÇÃO,-,-
2,1801,TECNOLOGIA E SOCIEDADE,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",48,0,-,-,-
3,3020,BANCO DE DADOS II,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,BANCO DE DADOS I,-,-
3,3278,LÍNGUA PORTUGUESA,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,-,-,-
3,3023,PROGRAMAÇÃO ORIENTADA A OBJETOS,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,ESTRUTURAS DE DADOS,-,-
3,3026,PROJETO INTEGRADOR DE EXTENSÃO I,Atividade de Extensão,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",0,0,-,-,-
3,3393,SISTEMAS DE INFORMAÇÕES CONTÁBEIS,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
4,3386,EMPREENDEDORISMO E REDE DE COOPERAÇÃO,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
4,173,ESTATÍSTICA APLICADA,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,TÓPICOS DE MATEMÁTICA,-,-
4,3394,PROGRAMAÇÃO COM BANCO DE DADOS,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,BANCO DE DADOS II,-,-
4,3032,PROJETO INTEGRADOR DE EXTENSÃO II,Atividade de Extensão,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",0,0,PROJETO INTEGRADOR DE EXTENSÃO I,-,-
4,1813,SISTEMAS OPERACIONAIS,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES,-,-
5,3025,ANÁLISE E PROJETO DE SOFTWARE,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,FUNDAMENTOS DE ENGENHARIA DE SOFTWARE,-,-
5,3395,LEGISLAÇÃO EM INFORMÁTICA,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
5,3396,METODOLOGIA CIENTÍFICA,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,-,-,-
5,3029,PROGRAMAÇÃO WEB I,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,PROGRAMAÇÃO ORIENTADA A OBJETOS,-,-
5,3037,PROJETO INTEGRADOR DE EXTENSÃO III,Atividade de Extensão,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",0,0,PROJETO INTEGRADOR DE EXTENSÃO II,-,-
6,3398,CIÊNCIA DE DADOS,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,PROGRAMAÇÃO COM BANCO DE DADOS,-,-
6,3399,GESTÃO DA PEQUENA E MÉDIA EMPRESA,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
6,3397,GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,FUNDAMENTOS DE ENGENHARIA DE SOFTWARE,-,-
6,3043,PROJETO INTEGRADOR DE EXTENSÃO IV,Atividade de Extensão,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",0,0,PROJETO INTEGRADOR DE EXTENSÃO III,-,-
6,3042,QUALIDADE DE SOFTWARE,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,ANÁLISE E PROJETO DE SOFTWARE,-,-
6,3028,REDES DE COMPUTADORES,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,SISTEMAS OPERACIONAIS,-,-
7,3400,ANÁLISE DE REDES SOCIAIS,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,CIÊNCIA DE DADOS,-,-
7,3030,GESTÃO DE PROJETOS DE SOFTWARE,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,ANÁLISE E PROJETO DE SOFTWARE,-,-
7,1823,INTERAÇÃO HUMANO-COMPUTADOR,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,PROGRAMAÇÃO WEB I,-,-
7,3401,PROJETO INTEGRADOR DE EXTENSÃO V,Atividade de Extensão,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",0,0,PROJETO INTEGRADOR DE EXTENSÃO IV,-,-
7,1764,SISTEMAS DISTRIBUÍDOS,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,REDES DE COMPUTADORES,-,-
8,1763,AUDITORIA E SEGURANÇA EM SISTEMAS DE INFORMAÇÃO,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,REDES DE COMPUTADORES,-,-
8,3403,ESTÁGIO CURRICULAR OBRIGATÓRIO,Prática Profissional,Não,1,Comum,"CH Relógio: 128, CH Aula: 128",0,0,-,-,-
8,3402,PLANEJAMENTO E ESTRATÉGIA EMPRESARIAL,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
8,1826,SISTEMAS DE APOIO À DECISÃO,Regular,Não,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,CIÊNCIA DE DADOS,-,-
-,3405,ARQUITETURA DE SOFTWARE,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,FUNDAMENTOS DE ENGENHARIA DE SOFTWARE,-,-
-,1774,BANCO DE DADOS NÃO-CONVENCIONAIS,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,BANCO DE DADOS II,-,-
-,1835,CONCEITOS DE LINGUAGENS DE PROGRAMAÇÃO,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,ESTRUTURAS DE DADOS,-,-
-,3408,DESENVOLVIMENTO DE SOFTWARE PARA DISPOSITIVOS MÓVEIS,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,PROGRAMAÇÃO WEB I,-,-
-,3272,EDUCAÇÃO AMBIENTAL,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,-,-,-
-,3050,EDUCAÇÃO DAS RELAÇÕES ÉTNICO-RACIAIS,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
-,3049,EDUCAÇÃO EM DIREITOS HUMANOS,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
-,3406,ENGENHARIA DE REQUISITOS,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,FUNDAMENTOS DE ENGENHARIA DE SOFTWARE,-,-
-,3012,FUNDAMENTOS DE ADMINISTRAÇÃO GERAL,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
-,3404,FUNDAMENTOS DE ENGENHARIA DE SISTEMAS,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",48,0,-,-,-
-,3411,GERÊNCIA DE CONFIGURAÇÃO DE SOFTWARE,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,GESTÃO DE PROJETOS DE SOFTWARE,-,-
-,3044,GESTÃO DE PESSOAS,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
-,2445,GESTÃO DO AGRONEGÓCIO,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
-,1878,HISTÓRIA DA COMPUTAÇÃO,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
-,1855,INFORMÁTICA NA EDUCAÇÃO,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
-,3409,INTEGRAÇÃO DE APLICAÇÕES,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,ANÁLISE E PROJETO DE SOFTWARE,-,-
-,1831,INTRODUÇÃO À PROGRAMAÇÃO DE MICROCONTROLADORES,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,-,-,-
-,1806,LABORATÓRIO DE PROGRAMAÇÃO,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,ALGORITMOS E PROGRAMAÇÃO,-,-
-,2479,LÍNGUA BRASILEIRA DE SINAIS - LIBRAS,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,-,-,-
-,3015,LINGUAGEM DE PROGRAMAÇÃO,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,ALGORITMOS E PROGRAMAÇÃO,-,-
-,1794,LÓGICA MATEMÁTICA PARA SISTEMAS DE INFORMAÇÃO,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
-,3410,MERCADO DE SOFWARE,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,QUALIDADE DE SOFTWARE,-,-
-,1869,PROGRAMAÇÃO EM AMBIENTE WEB II,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,PROGRAMAÇÃO WEB I,-,-
-,1809,TEORIA E ESTUDOS ORGANIZACIONAIS,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
-,1772,TÓPICOS ESPECIAIS EM BANCO DE DADOS,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,BANCO DE DADOS II,-,-
-,3412,TÓPICOS ESPECIAIS EM COMPUTAÇÃO I,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
-,3413,TÓPICOS ESPECIAIS EM COMPUTAÇÃO II,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
-,3414,TÓPICOS ESPECIAIS EM COMPUTAÇÃO III,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
-,3415,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IV,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,-,-,-
-,1857,TÓPICOS ESPECIAIS EM ENGENHARIA DE SOFTWARE,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",64,0,FUNDAMENTOS DE ENGENHARIA DE SOFTWARE,-,-
-,3407,VERIFICAÇÃO E VALIDAÇÃO DE SOFWARE,Regular,Sim,1,Comum,"CH Relógio: 64, CH Aula: 64",32,32,ANÁLISE E PROJETO DE SOFTWARE,-,-